Frame,x,y
1,0.706,0.886
2,0.706,0.885
3,0.708,0.886
4,0.713,0.892
5,0.722,0.882
6,0.736,0.880
7,0.757,0.890
8,0.777,0.906
9,0.797,0.891
10,0.824,0.885
11,0.844,0.910
12,0.876,0.901
13,0.906,0.885
14,0.926,0.900
15,0.951,0.893
16,0.972,0.886
17,1.018,0.843
18,1.037,0.840
19,1.054,0.851
20,1.066,0.822
21,1.088,0.771
22,1.103,0.744
23,1.110,0.738
24,1.127,0.634
25,1.142,0.565
26,1.145,0.531
27,1.136,0.474
28,1.121,0.411
29,1.110,0.372
30,1.095,0.338
31,1.080,0.297
32,1.063,0.281
33,1.040,0.243
34,1.022,0.212
35,1.007,0.183
36,0.986,0.164
37,0.954,0.136
38,0.926,0.115
39,0.902,0.104
40,0.874,0.093
41,0.850,0.087
42,0.826,0.077
43,0.803,0.066
44,0.772,0.061
45,0.741,0.055
46,0.710,0.052
47,0.680,0.044
48,0.652,0.045
49,0.623,0.046
50,0.576,0.042
51,0.539,0.044
52,0.511,0.048
53,0.482,0.053
54,0.437,0.064
55,0.404,0.081
56,0.375,0.102
57,0.346,0.126
58,0.314,0.164
59,0.295,0.191
60,0.277,0.216
61,0.258,0.243
62,0.238,0.278
63,0.233,0.338
64,0.215,0.388
65,0.200,0.437
66,0.190,0.479
67,0.185,0.528
68,0.181,0.572
69,0.182,0.614
70,0.191,0.653
71,0.210,0.695
72,0.229,0.726
73,0.249,0.757
74,0.264,0.784
75,0.280,0.810
76,0.311,0.841
77,0.340,0.862
78,0.369,0.877
79,0.398,0.889
80,0.444,0.899
81,0.480,0.904
82,0.511,0.906
83,0.540,0.906
84,0.568,0.905
85,0.607,0.894
86,0.635,0.882
87,0.662,0.865
88,0.687,0.841
89,0.711,0.811
90,0.733,0.776
91,0.752,0.733
92,0.767,0.689
93,0.774,0.645
94,0.774,0.601
95,0.767,0.562
96,0.758,0.521
97,0.748,0.488
98,0.736,0.440
99,0.727,0.412
100,0.722,0.402
