Frame,x,y
1,0.394,0.898
2,0.397,0.879
3,0.400,0.860
4,0.401,0.850
5,0.402,0.840
6,0.404,0.799
7,0.407,0.750
8,0.409,0.717
9,0.411,0.693
10,0.415,0.655
11,0.421,0.607
12,0.425,0.571
13,0.428,0.547
14,0.430,0.511
15,0.429,0.454
16,0.428,0.405
17,0.427,0.376
18,0.427,0.346
19,0.437,0.304
20,0.446,0.263
21,0.451,0.242
22,0.456,0.221
23,0.460,0.198
24,0.465,0.174
25,0.468,0.161
26,0.471,0.149
27,0.474,0.143
28,0.477,0.138
29,0.479,0.135
30,0.481,0.133
31,0.484,0.139
32,0.488,0.154
33,0.491,0.165
34,0.493,0.171
35,0.497,0.183
36,0.509,0.208
37,0.519,0.230
38,0.525,0.243
39,0.532,0.258
40,0.559,0.299
41,0.585,0.341
42,0.599,0.362
43,0.612,0.383
44,0.640,0.417
45,0.669,0.454
46,0.687,0.476
47,0.701,0.494
48,0.729,0.523
49,0.763,0.557
50,0.787,0.581
51,0.805,0.599
52,0.828,0.622
53,0.861,0.653
54,0.887,0.679
55,0.904,0.696
56,0.922,0.712
57,0.946,0.731
58,0.970,0.749
59,0.982,0.759
60,0.994,0.768
61,1.004,0.769
62,1.013,0.770
63,1.018,0.770
64,1.023,0.770
65,1.022,0.758
66,1.021,0.743
67,1.019,0.733
68,1.018,0.725
69,1.013,0.706
70,1.006,0.678
71,1.000,0.657
72,0.996,0.643
73,0.992,0.620
74,0.986,0.583
75,0.981,0.551
76,0.978,0.532
77,0.975,0.509
78,0.970,0.468
79,0.966,0.429
80,0.963,0.409
81,0.960,0.389
82,0.955,0.353
83,0.951,0.317
84,0.948,0.297
85,0.946,0.279
86,0.942,0.253
87,0.938,0.224
88,0.935,0.205
89,0.933,0.191
90,0.930,0.175
91,0.926,0.159
92,0.923,0.146
93,0.921,0.138
94,0.919,0.130
95,0.917,0.123
96,0.916,0.117
97,0.915,0.115
98,0.914,0.113
99,0.914,0.118
100,0.914,0.124
