Frame,x,y
1,0.0,0.09
2,0.011,0.087
3,0.026,0.083
4,0.038,0.08
5,0.051,0.078
6,0.066,0.076
7,0.081,0.074
8,0.096,0.07
9,0.111,0.068
10,0.126,0.066
11,0.142,0.065
12,0.159,0.064
13,0.174,0.06
14,0.189,0.057
15,0.206,0.055
16,0.223,0.054
17,0.24,0.051
18,0.257,0.047
19,0.276,0.044
20,0.295,0.041
21,0.314,0.04
22,0.334,0.039
23,0.355,0.037
24,0.376,0.033
25,0.397,0.028
26,0.419,0.025
27,0.442,0.024
28,0.467,0.022
29,0.494,0.018
30,0.52,0.013
31,0.546,0.009
32,0.571,0.007
33,0.597,0.005
34,0.624,0.002
35,0.649,0.0
36,0.672,0.0
37,0.694,0.001
38,0.714,0.002
39,0.731,0.005
40,0.745,0.008
41,0.757,0.013
42,0.766,0.02
43,0.772,0.029
44,0.774,0.039
45,0.77,0.053
46,0.761,0.069
47,0.75,0.086
48,0.733,0.108
49,0.71,0.139
50,0.676,0.181
51,0.635,0.232
52,0.592,0.282
53,0.548,0.331
54,0.498,0.384
55,0.439,0.446
56,0.377,0.514
57,0.317,0.58
58,0.266,0.633
59,0.219,0.683
60,0.171,0.739
61,0.127,0.794
62,0.091,0.842
63,0.061,0.883
64,0.036,0.916
65,0.019,0.943
66,0.012,0.964
67,0.012,0.978
68,0.019,0.986
69,0.033,0.992
70,0.052,0.997
71,0.076,0.999
72,0.104,1.0
73,0.135,1.0
74,0.17,1.0
75,0.209,0.998
76,0.251,0.992
77,0.297,0.984
78,0.345,0.976
79,0.394,0.97
80,0.443,0.963
81,0.491,0.955
82,0.538,0.945
83,0.583,0.936
84,0.625,0.928
85,0.666,0.922
86,0.705,0.916
87,0.744,0.91
88,0.782,0.904
89,0.817,0.898
90,0.848,0.891
91,0.875,0.885
92,0.9,0.88
93,0.922,0.876
94,0.943,0.871
95,0.961,0.866
96,0.975,0.861
97,0.984,0.855
98,0.99,0.849
99,0.996,0.844
100,1.0,0.842
